"Country or Area"|"Year"|"Area"|"Sex"|"Age"|"Record Type"|"Reliability"|"Source Year"|"Value"|"Value Footnotes"
"Germany"|"2018"|"Total"|"Both Sexes"|"52"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1395078"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"53"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1418449"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"54"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1404391"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"55"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1357082"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"55 - 59"|"Estimate - de jure"|"Final figure, complete"|"2018"|"6401516"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"56"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1334645"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"57"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1286991"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"58"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1247579"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"59"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1175219"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"60"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1144314"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"60 - 64"|"Estimate - de jure"|"Final figure, complete"|"2018"|"5375053"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"61"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1108669"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"62"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1070337"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"63"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1045334"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"64"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1006399"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"65"|"Estimate - de jure"|"Final figure, complete"|"2018"|"999682"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"65 - 69"|"Estimate - de jure"|"Final figure, complete"|"2018"|"4711694"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"66"|"Estimate - de jure"|"Final figure, complete"|"2018"|"973689"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"67"|"Estimate - de jure"|"Final figure, complete"|"2018"|"967521"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"68"|"Estimate - de jure"|"Final figure, complete"|"2018"|"928887"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"69"|"Estimate - de jure"|"Final figure, complete"|"2018"|"841915"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"70"|"Estimate - de jure"|"Final figure, complete"|"2018"|"784815"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"70 - 74"|"Estimate - de jure"|"Final figure, complete"|"2018"|"3611909"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"71"|"Estimate - de jure"|"Final figure, complete"|"2018"|"676907"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"72"|"Estimate - de jure"|"Final figure, complete"|"2018"|"589302"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"73"|"Estimate - de jure"|"Final figure, complete"|"2018"|"779008"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"74"|"Estimate - de jure"|"Final figure, complete"|"2018"|"781877"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"75"|"Estimate - de jure"|"Final figure, complete"|"2018"|"746906"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"75 - 79"|"Estimate - de jure"|"Final figure, complete"|"2018"|"4235423"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"76"|"Estimate - de jure"|"Final figure, complete"|"2018"|"892443"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"77"|"Estimate - de jure"|"Final figure, complete"|"2018"|"918608"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"78"|"Estimate - de jure"|"Final figure, complete"|"2018"|"882457"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"79"|"Estimate - de jure"|"Final figure, complete"|"2018"|"795009"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"80"|"Estimate - de jure"|"Final figure, complete"|"2018"|"713800"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"80 - 84"|"Estimate - de jure"|"Final figure, complete"|"2018"|"2885211"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"81"|"Estimate - de jure"|"Final figure, complete"|"2018"|"658716"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"82"|"Estimate - de jure"|"Final figure, complete"|"2018"|"601037"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"83"|"Estimate - de jure"|"Final figure, complete"|"2018"|"521954"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"84"|"Estimate - de jure"|"Final figure, complete"|"2018"|"389704"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"85"|"Estimate - de jure"|"Final figure, complete"|"2018"|"356499"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"85 - 89"|"Estimate - de jure"|"Final figure, complete"|"2018"|"1495440"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"86"|"Estimate - de jure"|"Final figure, complete"|"2018"|"330034"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"87"|"Estimate - de jure"|"Final figure, complete"|"2018"|"312055"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"88"|"Estimate - de jure"|"Final figure, complete"|"2018"|"267429"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"89"|"Estimate - de jure"|"Final figure, complete"|"2018"|"229423"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"90"|"Estimate - de jure"|"Final figure, complete"|"2018"|"184020"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"90 - 94"|"Estimate - de jure"|"Final figure, complete"|"2018"|"617295"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"91"|"Estimate - de jure"|"Final figure, complete"|"2018"|"151929"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"92"|"Estimate - de jure"|"Final figure, complete"|"2018"|"122515"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"93"|"Estimate - de jure"|"Final figure, complete"|"2018"|"90544"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"94"|"Estimate - de jure"|"Final figure, complete"|"2018"|"68287"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"95"|"Estimate - de jure"|"Final figure, complete"|"2018"|"51960"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"95 - 99"|"Estimate - de jure"|"Final figure, complete"|"2018"|"138545"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"96"|"Estimate - de jure"|"Final figure, complete"|"2018"|"39309"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"97"|"Estimate - de jure"|"Final figure, complete"|"2018"|"26696"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"98"|"Estimate - de jure"|"Final figure, complete"|"2018"|"14491"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"99"|"Estimate - de jure"|"Final figure, complete"|"2018"|"6089"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"100"|"Estimate - de jure"|"Final figure, complete"|"2019"|"3869"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"100 - 104"|"Estimate - de jure"|"Final figure, complete"|"2019"|"12042"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"100 +"|"Estimate - de jure"|"Final figure, complete"|"2018"|"14194"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"101"|"Estimate - de jure"|"Final figure, complete"|"2019"|"2711"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"102"|"Estimate - de jure"|"Final figure, complete"|"2019"|"2363"|"1"
"Germany"|"2018"|"Total"|"Both Sexes"|"103"|"Estimate - de jure"|"Final figure, complete"|"2019"|"1865"|"1"
